1655424000000.0,20400.6,21365.43,20246.66,20468.81,86694.33663,2022-06-17,,,
1655510400000.0,20468.81,20792.06,17622.0,18970.79,196441.655524,2022-06-18,,,
1655596800000.0,18970.79,20815.95,17960.41,20574.0,128320.87595,2022-06-19,,,
1655683200000.0,20574.0,21090.0,19637.03,20573.89,109028.94154,2022-06-20,,,
1655769600000.0,20573.9,21723.0,20348.4,20723.52,104371.0749,2022-06-21,,,
1655856000000.0,20723.51,20900.0,19770.51,19987.99,92133.97938,2022-06-22,,,
1655942400000.0,19988.0,21233.0,19890.07,21110.13,83127.08716,2022-06-23,20344.161428571428,,
1656028800000.0,21110.12,21558.41,20736.72,21237.69,77430.36622,2022-06-24,20454.00142857143,,
1656115200000.0,21237.68,21614.5,20906.62,21491.19,51431.67794,2022-06-25,20814.058571428573,,
1656201600000.0,21491.18,21888.0,20964.73,21038.07,53278.10464,2022-06-26,20880.354285714282,,
1656288000000.0,21038.08,21539.85,20510.0,20742.56,64475.0013,2022-06-27,20904.45,,
1656374400000.0,20742.57,21212.1,20202.01,20281.29,63801.0832,2022-06-28,20841.274285714288,,
1656460800000.0,20281.28,20432.31,19854.92,20123.01,77309.04379,2022-06-29,20860.562857142857,,
1656547200000.0,20123.0,20179.08,18626.0,19942.21,93846.64806,2022-06-30,20693.717142857142,,
1656633600000.0,19942.21,20918.35,18975.0,19279.8,111844.59494,2022-07-01,20414.018571428573,,
1656720000000.0,19279.8,19467.39,18977.01,19252.81,46180.3021,2022-07-02,20094.25,,
1656806400000.0,19252.82,19647.63,18781.0,19315.83,51087.46631,2022-07-03,19848.215714285714,,
1656892800000.0,19315.83,20354.01,19055.31,20236.71,74814.04601,2022-07-04,19775.95142857143,,
1656979200000.0,20236.71,20750.0,19304.4,20175.83,96041.13756,2022-07-05,19760.885714285716,,
1657065600000.0,20175.84,20675.22,19761.25,20564.51,82439.5808,2022-07-06,19823.957142857143,,
1657152000000.0,20564.51,21838.1,20251.68,21624.98,85014.58261,2022-07-07,20064.352857142858,,
1657238400000.0,21624.99,22527.37,21189.26,21594.75,403081.57349,2022-07-08,20395.06,,
1657324800000.0,21594.75,21980.0,21322.12,21591.83,178417.84468,2022-07-09,20729.205714285716,,
1657411200000.0,21592.15,21607.65,20655.0,20862.47,192188.21556,2022-07-10,20950.154285714285,,
1657497600000.0,20861.11,20868.48,19875.23,19963.61,137535.40724,2022-07-11,20911.140000000003,20469.1312,
1657584000000.0,19963.61,20059.42,19240.0,19328.75,139506.45862,2022-07-12,20790.12857142857,20423.5288,
1657670400000.0,19331.28,20366.61,18910.94,20234.87,209250.24888,2022-07-13,20743.037142857145,20474.092,
1657756800000.0,20234.87,20900.0,19616.07,20588.84,174809.21696,2022-07-14,20595.01714285714,20474.6856,
1657843200000.0,20588.84,21200.0,20382.29,20830.04,143343.3049,2022-07-15,20485.772857142856,20484.9316,
1657929600000.0,20830.04,21588.94,20478.61,21195.6,121011.67393,2022-07-16,20429.16857142857,20503.8148,
1658016000000.0,21195.6,21684.54,20750.01,20798.16,118229.4525,2022-07-17,20419.981428571427,20536.2216,
1658102400000.0,20799.58,22777.63,20762.45,22432.58,239942.73132,2022-07-18,20772.691428571427,20589.119599999998,
1658188800000.0,22432.58,23800.0,21579.54,23396.62,263770.76574,2022-07-19,21353.815714285713,20675.4768,
1658275200000.0,23398.48,24276.74,22906.19,23223.3,238762.17094,2022-07-20,21780.734285714283,20744.761199999997,
1658361600000.0,23223.3,23442.77,22341.46,23152.19,184817.68191,2022-07-21,22146.92714285714,20829.325999999997,
1658448000000.0,23152.19,23756.49,22500.0,22684.83,171598.43966,2022-07-22,22411.897142857142,20907.016799999998,
1658534400000.0,22684.83,23000.77,21934.57,22451.07,122137.77375,2022-07-23,22591.25,20993.807999999997,
1658620800000.0,22448.58,23014.64,22257.15,22579.68,115189.67277,2022-07-24,22845.75285714286,21092.0748,
1658707200000.0,22577.13,22666.0,21250.0,21310.9,180344.76643,2022-07-25,22685.512857142858,21146.822399999997,
1658793600000.0,21310.9,21347.82,20706.5,21254.67,177817.24326,2022-07-26,22379.52,21225.817199999998,
1658880000000.0,21254.67,23112.63,21042.53,22952.45,210971.19796,2022-07-27,22340.827142857142,21373.802799999998,
1658966400000.0,22954.31,24199.72,22582.13,23842.93,236029.0741,2022-07-28,22439.504285714287,21554.886799999997,
1659052800000.0,23845.25,24442.66,23414.03,23773.75,198298.50623,2022-07-29,22595.064285714285,21696.3684,
1659139200000.0,23777.28,24668.0,23502.25,23643.51,151060.13211,2022-07-30,22765.41285714286,21835.0756,
1659225600000.0,23644.64,24194.82,23227.31,23293.32,127743.32483,2022-07-31,22867.36142857143,21944.228,
1659312000000.0,23296.36,23509.68,22850.0,23268.01,144210.16219,2022-08-01,23146.94857142857,22009.9492,
1659398400000.0,23266.9,23459.89,22654.37,22987.79,158073.28225,2022-08-02,23394.53714285714,22065.6708,
1659484800000.0,22985.93,23647.68,22681.22,22818.37,145948.80995,2022-08-03,23375.382857142857,22114.7324,
1659571200000.0,22816.91,23223.32,22400.0,22622.98,154854.67016,2022-08-04,23201.104285714286,22185.152799999996,
1659657600000.0,22622.41,23472.86,22586.95,23312.42,175251.69749,2022-08-05,23135.2,22319.1052,21394.118199999997
1659744000000.0,23313.56,23354.36,22909.52,22954.21,83911.80307,2022-08-06,23036.72857142857,22464.1236,21443.8262
1659830400000.0,22954.21,23402.0,22844.62,23174.39,88890.00877,2022-08-07,23019.73857142857,22581.7044,21527.8982
